[2025-12-06T03:10:33.284+0500] {processor.py:161} INFO - Started process (PID=77708) to work on /Users/symbat/airflow_local/.venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2025-12-06T03:10:33.285+0500] {processor.py:830} INFO - Processing file /Users/symbat/airflow_local/.venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-12-06T03:10:33.286+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.285+0500] {dagbag.py:545} INFO - Filling up the DagBag from /Users/symbat/airflow_local/.venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2025-12-06T03:10:33.332+0500] {processor.py:840} INFO - DAG(s) 'dataset_produces_1', 'dataset_produces_2', 'dataset_consumes_1', 'dataset_consumes_1_never_scheduled', 'conditional_dataset_and_time_based_timetable', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_1_and_2' retrieved from /Users/symbat/airflow_local/.venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2025-12-06T03:10:33.520+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.519+0500] {dag.py:3089} INFO - Sync 10 DAGs
[2025-12-06T03:10:33.530+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.530+0500] {dag.py:3947} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-12-03 01:00:00+00:00, run_after=2025-12-03 01:00:00+00:00
[2025-12-06T03:10:33.532+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.531+0500] {dag.py:3947} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-12-06T03:10:33.532+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.532+0500] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-12-06T03:10:33.532+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.532+0500] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-12-06T03:10:33.533+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.533+0500] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-12-06T03:10:33.533+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.533+0500] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-12-06T03:10:33.534+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.534+0500] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-12-06T03:10:33.534+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.534+0500] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-12-06T03:10:33.535+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.535+0500] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_1 to 2025-12-04 00:00:00+00:00, run_after=2025-12-05 00:00:00+00:00
[2025-12-06T03:10:33.535+0500] {logging_mixin.py:188} INFO - [2025-12-06T03:10:33.535+0500] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-12-06T03:10:33.552+0500] {processor.py:183} INFO - Processing /Users/symbat/airflow_local/.venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py took 0.274 seconds
